fecha,hora,portafolio,token,symbol,precio,1h,24h,7d,tendencia_7d,market_cap,volumen_usd,tokens_movidos,suministro_circulante
11/05/2025,22:58:43,Principales Tokens Exnetwork Capital Portfolio por Capitalización de Mercado,Aleph Zero,AZERO,"0,1390 US$",0.24,0.71,9.04,positivo,"$37,096,583","$327,976",2.36M AZERO,266.77M AZERO
11/05/2025,22:58:43,Principales Tokens Exnetwork Capital Portfolio por Capitalización de Mercado,Heroes of Mavia,MAVIA,"0,2570 US$",0.14,-2.56,16.16,positivo,"$28,774,302","$11,486,909",44.56M MAVIA,111.93M MAVIA
11/05/2025,22:58:43,Principales Tokens Exnetwork Capital Portfolio por Capitalización de Mercado,Unizen,ZCX,"0,04602 US$",0.31,-0.25,4.98,positivo,"$28,939,205","$1,743,682",38.08M ZCX,628.7M ZCX
11/05/2025,22:58:44,Principales Tokens Exnetwork Capital Portfolio por Capitalización de Mercado,StaFi,FIS,"0,2086 US$",0.14,5.34,-3.36,negativo,"$23,615,478","$18,182,471",87.43M FIS,113.16M FIS
11/05/2025,22:58:44,Principales Tokens Exnetwork Capital Portfolio por Capitalización de Mercado,RAMP,RAMP,"0,04604 US$",0.0,-0.85,2.99,positivo,"$22,000,259",--,,477.83M RAMP
11/05/2025,22:58:47,Principales Tokens CMS Holdings Portfolio por Capitalización de Mercado,Bitcoin,BTC,"104.076,84 US$",0.21,-0.0,10.59,positivo,"$2,067,339,754,374","$46,137,645,381",443.92K BTC,19.86M BTC
11/05/2025,22:58:47,Principales Tokens CMS Holdings Portfolio por Capitalización de Mercado,Ethereum,ETH,"2518,81 US$",-0.0,-0.74,40.23,positivo,"$304,096,036,072","$24,084,567,057",9.57M ETH,120.72M ETH
11/05/2025,22:58:48,Principales Tokens CMS Holdings Portfolio por Capitalización de Mercado,Solana,SOL,"174,69 US$",-0.83,-0.68,20.41,positivo,"$90,722,312,878","$3,458,295,648",19.87M SOL,519.32M SOL
11/05/2025,22:58:48,Principales Tokens CMS Holdings Portfolio por Capitalización de Mercado,Avalanche,AVAX,"25,08 US$",0.22,-1.02,25.52,positivo,"$10,492,983,324","$398,467,523",15.91M AVAX,418.35M AVAX
11/05/2025,22:58:48,Principales Tokens CMS Holdings Portfolio por Capitalización de Mercado,Polkadot,DOT,"5,14 US$",0.99,0.12,29.27,positivo,"$8,102,898,030","$266,275,944",51.90M DOT,1.57B DOT
11/05/2025,22:58:48,Principales Tokens CMS Holdings Portfolio por Capitalización de Mercado,Injective,INJ,"13,45 US$",1.21,2.37,42.66,positivo,"$1,345,216,633","$144,756,877",10.75M INJ,99.97M INJ
11/05/2025,22:58:49,Principales Tokens CMS Holdings Portfolio por Capitalización de Mercado,FTX Token,FTT,"1,15 US$",0.3,-2.45,8.61,positivo,"$380,487,570","$14,507,908",12.60M FTT,328.89M FTT
11/05/2025,22:58:49,Principales Tokens CMS Holdings Portfolio por Capitalización de Mercado,Kusama,KSM,"19,12 US$",1.25,-0.8,30.68,positivo,"$315,328,952","$19,633,395",1.03M KSM,16.48M KSM
11/05/2025,22:58:49,Principales Tokens CMS Holdings Portfolio por Capitalización de Mercado,Nervos Network,CKB,"0,005868 US$",1.3,-2.19,27.02,positivo,"$272,803,868","$23,311,980",4.00B CKB,46.48B CKB
11/05/2025,22:58:49,Principales Tokens CMS Holdings Portfolio por Capitalización de Mercado,Xai,XAI,"0,09343 US$",1.31,6.24,73.62,positivo,"$132,688,472","$107,426,054",1.15B XAI,1.42B XAI
11/05/2025,22:58:49,Principales Tokens CMS Holdings Portfolio por Capitalización de Mercado,Solana Name Service,FIDA,"0,1050 US$",4.39,30.18,37.89,positivo,"$104,065,559","$145,809,403",1.38B FIDA,990.91M FIDA
11/05/2025,22:58:49,Principales Tokens CMS Holdings Portfolio por Capitalización de Mercado,BounceBit,BB,"0,1688 US$",1.12,-2.61,47.41,positivo,"$88,313,785","$16,911,931",100.17M BB,523.13M BB
11/05/2025,22:58:50,Principales Tokens CMS Holdings Portfolio por Capitalización de Mercado,DODO,DODO,"0,06157 US$",1.01,0.91,36.66,positivo,"$44,685,615","$10,261,813",167.08M DODO,725.7M DODO
11/05/2025,22:58:50,Principales Tokens CMS Holdings Portfolio por Capitalización de Mercado,Perpetual Protocol,PERP,"0,3483 US$",0.34,-1.23,18.07,positivo,"$22,989,392","$14,004,437",40.20M PERP,66M PERP
11/05/2025,22:58:50,Principales Tokens CMS Holdings Portfolio por Capitalización de Mercado,SynFutures,F,"0,01281 US$",0.45,-4.48,18.91,positivo,"$22,130,700","$7,786,411",607.48M F,1.72B F
11/05/2025,22:58:50,Principales Tokens CMS Holdings Portfolio por Capitalización de Mercado,GameGPT,DUEL,"0,001348 US$",-0.72,-3.32,34.94,positivo,"$6,071,243","$562,413",417.19M DUEL,4.5B DUEL
11/05/2025,22:58:50,Principales Tokens CMS Holdings Portfolio por Capitalización de Mercado,Serum,SRM,"0,01467 US$",-1.4,4.2,23.02,positivo,"$3,863,512","$176,278",11.66M SRM,263.24M SRM
11/05/2025,22:58:50,Principales Tokens CMS Holdings Portfolio por Capitalización de Mercado,UX Chain,UX,"0,0005187 US$",2.3,2.53,25.81,positivo,"$2,066,621","$35,859",69.13M UX,3.98B UX
11/05/2025,22:58:51,Principales Tokens CMS Holdings Portfolio por Capitalización de Mercado,Linear Finance,LINA,"0,00009194 US$",-3.12,7.23,-16.82,negativo,"$919,122","$258,200",2.80B LINA,9.99B LINA
11/05/2025,22:58:51,Principales Tokens CMS Holdings Portfolio por Capitalización de Mercado,MAPS,MAPS,"0,01856 US$",0.02,0.28,1.28,positivo,"$844,497","$59,366",3.19M MAPS,45.49M MAPS
11/05/2025,22:58:51,Principales Tokens CMS Holdings Portfolio por Capitalización de Mercado,Standard,STND,"0,002648 US$",-0.91,2.89,-4.39,negativo,"$226,649","$196,829",74.31M STND,85.57M STND
11/05/2025,22:58:52,Principales Tokens Galaxy Digital Portfolio por Capitalización de Mercado,Bitcoin,BTC,"104.069,90 US$",0.2,-0.01,10.58,positivo,"$2,067,201,960,267","$46,193,062,341",444.45K BTC,19.86M BTC
11/05/2025,22:58:52,Principales Tokens Galaxy Digital Portfolio por Capitalización de Mercado,XRP,XRP,"2,39 US$",0.19,-0.47,11.31,positivo,"$140,147,085,511","$3,691,066,112",1.54B XRP,58.55B XRP
11/05/2025,22:58:52,Principales Tokens Galaxy Digital Portfolio por Capitalización de Mercado,Monero,XMR,"333,54 US$",0.47,2.54,19.45,positivo,"$6,152,781,505","$112,367,052",336.88K XMR,18.44M XMR
