timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2022-01-02T00:00:00.000Z";"2022-01-02T23:59:59.999Z";"2022-01-02T17:40:00.000Z";"2022-01-02T04:56:00.000Z";"2781";0.6643581976;0.6903151562;0.6508728153;0.6766154831;95214892.71;3190739450.36;"2022-01-02T23:59:59.999Z"
"2022-01-01T00:00:00.000Z";"2022-01-01T23:59:59.999Z";"2022-01-01T23:58:00.000Z";"2022-01-01T05:11:00.000Z";"2781";0.6444848287;0.6644529293;0.6392826852;0.6644075984;59734129.08;3133170298.69;"2022-01-01T23:59:59.999Z"
"2021-12-31T00:00:00.000Z";"2021-12-31T23:59:59.999Z";"2021-12-31T16:31:00.000Z";"2021-12-31T21:00:00.000Z";"2781";0.6459035805;0.6776085904;0.6251724469;0.6445596604;103100616.09;3039572679.1;"2021-12-31T23:59:59.999Z"
"2021-12-30T00:00:00.000Z";"2021-12-30T23:59:59.999Z";"2021-12-30T17:07:07.000Z";"2021-12-30T00:22:11.000Z";"2781";0.6335310804;0.6614978286;0.6142175826;0.645958081;86234860.3;3046167260.22;"2021-12-30T23:59:59.999Z"
"2021-12-29T00:00:00.000Z";"2021-12-29T23:59:59.999Z";"2021-12-29T04:42:10.000Z";"2021-12-29T23:46:08.000Z";"2781";0.66651026;0.6925474921;0.6251377619;0.6309026721;113920947.19;2975169938.45;"2021-12-29T23:59:59.999Z"
"2021-12-28T00:00:00.000Z";"2021-12-28T23:59:59.999Z";"2021-12-28T00:02:07.000Z";"2021-12-28T22:41:08.000Z";"2781";0.7367001974;0.7380144062;0.6626493057;0.6654321102;129244379.25;3138001625.49;"2021-12-28T23:59:59.999Z"
"2021-12-27T00:00:00.000Z";"2021-12-27T23:59:59.999Z";"2021-12-27T15:19:07.000Z";"2021-12-27T04:06:07.000Z";"2781";0.7357439371;0.7770319962;0.7335896195;0.7360191758;122722420.18;3470871535.1;"2021-12-27T23:59:59.999Z"
"2021-12-26T00:00:00.000Z";"2021-12-26T23:59:59.999Z";"2021-12-26T15:35:07.000Z";"2021-12-26T04:01:08.000Z";"2781";0.7199690124;0.7446739189;0.6881745661;0.7359354385;126302758.06;3470476652.46;"2021-12-26T23:59:59.999Z"
"2021-12-25T00:00:00.000Z";"2021-12-25T23:59:59.999Z";"2021-12-25T21:44:08.000Z";"2021-12-25T00:03:13.000Z";"2781";0.6968395286;0.729413042;0.6924128132;0.7192697498;88468965.46;3391885677.57;"2021-12-25T23:59:59.999Z"
"2021-12-24T00:00:00.000Z";"2021-12-24T23:59:59.999Z";"2021-12-24T10:46:07.000Z";"2021-12-24T23:14:08.000Z";"2781";0.7334844857;0.749402172;0.6850179969;0.6963527298;122142489.51;3283815079.43;"2021-12-24T23:59:59.999Z"
"2021-12-23T00:00:00.000Z";"2021-12-23T23:59:59.999Z";"2021-12-23T19:46:08.000Z";"2021-12-23T07:56:09.000Z";"2781";0.6942531772;0.7506397061;0.6790185945;0.7327209616;143920015.32;3455318030.63;"2021-12-23T23:59:59.999Z"
"2021-12-22T00:00:00.000Z";"2021-12-22T23:59:59.999Z";"2021-12-22T03:37:08.000Z";"2021-12-22T12:57:16.000Z";"2781";0.7099957759;0.7302120312;0.6922451055;0.6940121885;151887590.56;3272777706.58;"2021-12-22T23:59:59.999Z"
