timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2022-01-02T00:00:00.000Z";"2022-01-02T23:59:59.999Z";"2022-01-02T23:59:00.000Z";"2022-01-02T13:26:00.000Z";"2781";0.0231014066;0.0240371011;0.0225602249;0.0240371011;13006291.08;702941330.35;"2022-01-02T23:59:59.999Z"
"2022-01-01T00:00:00.000Z";"2022-01-01T23:59:59.999Z";"2022-01-01T22:44:00.000Z";"2022-01-01T04:22:00.000Z";"2781";0.022250799;0.0233209628;0.0220970338;0.0231098529;9552246.77;675542279.86;"2022-01-01T23:59:59.999Z"
"2021-12-31T00:00:00.000Z";"2021-12-31T23:59:59.999Z";"2021-12-31T10:23:00.000Z";"2021-12-31T21:19:00.000Z";"2781";0.0226593973;0.0230002449;0.021806348;0.0222522516;11716563.29;650208441.5;"2021-12-31T23:59:59.999Z"
"2021-12-30T00:00:00.000Z";"2021-12-30T23:59:59.999Z";"2021-12-30T23:56:12.000Z";"2021-12-30T11:25:11.000Z";"2781";0.0216706559;0.0227316334;0.0213897065;0.0226962561;10483442.83;662904403.41;"2021-12-30T23:59:59.999Z"
"2021-12-29T00:00:00.000Z";"2021-12-29T23:59:59.999Z";"2021-12-29T15:55:14.000Z";"2021-12-29T23:47:11.000Z";"2781";0.0221580801;0.0227106403;0.0214728304;0.0216597318;10554346.15;632370051.99;"2021-12-29T23:59:59.999Z"
"2021-12-28T00:00:00.000Z";"2021-12-28T23:59:59.999Z";"2021-12-28T00:02:12.000Z";"2021-12-28T19:43:11.000Z";"2781";0.024200466;0.0242147719;0.021438651;0.0221924471;18945580.72;647659429.43;"2021-12-28T23:59:59.999Z"
"2021-12-27T00:00:00.000Z";"2021-12-27T23:59:59.999Z";"2021-12-27T23:46:12.000Z";"2021-12-27T11:05:12.000Z";"2781";0.0239746451;0.0244256604;0.0232369951;0.0241841016;15732591.84;705399432.63;"2021-12-27T23:59:59.999Z"
"2021-12-26T00:00:00.000Z";"2021-12-26T23:59:59.999Z";"2021-12-26T10:55:12.000Z";"2021-12-26T04:09:34.000Z";"2781";0.0231816163;0.0239832944;0.0225913019;0.0239386861;15341200.68;697907671.11;"2021-12-26T23:59:59.999Z"
"2021-12-25T00:00:00.000Z";"2021-12-25T23:59:59.999Z";"2021-12-25T23:53:13.000Z";"2021-12-25T00:05:11.000Z";"2781";0.0212495394;0.0234968961;0.0211239833;0.0231508396;16966348.6;674656630.01;"2021-12-25T23:59:59.999Z"
"2021-12-24T00:00:00.000Z";"2021-12-24T23:59:59.999Z";"2021-12-24T13:25:11.000Z";"2021-12-24T23:18:31.000Z";"2781";0.0218261895;0.0224153319;0.0211529107;0.0212398027;15427738.5;618694008.41;"2021-12-24T23:59:59.999Z"
"2021-12-23T00:00:00.000Z";"2021-12-23T23:59:59.999Z";"2021-12-23T23:20:10.000Z";"2021-12-23T11:55:11.000Z";"2781";0.0200493454;0.0220195892;0.0198200996;0.0218208851;19420604.18;635371841.85;"2021-12-23T23:59:59.999Z"
"2021-12-22T00:00:00.000Z";"2021-12-22T23:59:59.999Z";"2021-12-22T17:11:11.000Z";"2021-12-22T00:00:25.000Z";"2781";0.0198305016;0.0205380179;0.0198305016;0.0200678751;14092577.46;584086752.25;"2021-12-22T23:59:59.999Z"
"2021-12-21T00:00:00.000Z";"2021-12-21T23:59:59.999Z";"2021-12-21T14:38:11.000Z";"2021-12-21T00:42:31.000Z";"2781";0.0192784562;0.0199914966;0.0191375744;0.0198539586;9904222.6;577622646.2;"2021-12-21T23:59:59.999Z"
"2021-12-20T00:00:00.000Z";"2021-12-20T23:59:59.999Z";"2021-12-20T01:10:11.000Z";"2021-12-20T13:06:27.000Z";"2781";0.0201412349;0.0205245072;0.0186015309;0.019332669;20442417.1;562221610.5;"2021-12-20T23:59:59.999Z"
"2021-12-19T00:00:00.000Z";"2021-12-19T23:59:59.999Z";"2021-12-19T17:22:11.000Z";"2021-12-19T10:18:24.000Z";"2781";0.0190349397;0.0213312144;0.0188475465;0.0201393077;28126824.16;585435347.66;"2021-12-19T23:59:59.999Z"
