timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-01-02T00:00:00.000Z";"2024-01-02T23:59:59.999Z";"2024-01-02T10:17:00.000Z";"2024-01-02T21:11:00.000Z";"2781";8.5991739655;8.80124666;8.3542719324;8.4126962102;340575264.11;10629011024.36;"2024-01-02T23:59:59.999Z"
"2024-01-01T00:00:00.000Z";"2024-01-01T23:59:59.999Z";"2024-01-01T20:14:00.000Z";"2024-01-01T04:23:00.000Z";"2781";8.2010313967;8.6246250873;8.0994169358;8.5989249372;246624749.15;11144036783.2;"2024-01-01T23:59:59.999Z"
"2023-12-31T00:00:00.000Z";"2023-12-31T23:59:59.999Z";"2023-12-31T10:16:00.000Z";"2023-12-31T22:55:00.000Z";"2781";8.3689999718;8.6275585712;8.1281805134;8.1939871474;304720309.59;10345695545.12;"2023-12-31T23:59:59.999Z"
"2023-12-30T00:00:00.000Z";"2023-12-30T23:59:59.999Z";"2023-12-30T05:20:00.000Z";"2023-12-30T09:46:00.000Z";"2781";8.2927315219;8.4741988927;8.1343275665;8.370862651;239200073.25;10565590741.73;"2023-12-30T23:59:59.999Z"
"2023-12-29T00:00:00.000Z";"2023-12-29T23:59:59.999Z";"2023-12-29T15:01:00.000Z";"2023-12-29T22:22:00.000Z";"2781";8.4502777068;8.677585701;8.1358470319;8.2926253995;474260327.42;10463865158.14;"2023-12-29T23:59:59.999Z"
"2023-12-28T00:00:00.000Z";"2023-12-28T23:59:59.999Z";"2023-12-28T01:07:00.000Z";"2023-12-28T14:46:00.000Z";"2781";8.7033077073;8.8990144607;8.3132749194;8.4501144533;434449041.28;10659100319.29;"2023-12-28T23:59:59.999Z"
"2023-12-27T00:00:00.000Z";"2023-12-27T23:59:59.999Z";"2023-12-27T16:44:00.000Z";"2023-12-27T03:34:00.000Z";"2781";8.8191270056;8.9974586766;8.442438902;8.7030696223;474271916.84;10975104850.71;"2023-12-27T23:59:59.999Z"
"2023-12-26T00:00:00.000Z";"2023-12-26T23:59:59.999Z";"2023-12-26T01:17:00.000Z";"2023-12-26T17:43:00.000Z";"2781";9.2223546307;9.57856113;8.519404213;8.8192571446;707582624.24;11118276734.24;"2023-12-26T23:59:59.999Z"
"2023-12-25T00:00:00.000Z";"2023-12-25T23:59:59.999Z";"2023-12-25T06:34:00.000Z";"2023-12-25T00:46:00.000Z";"2781";8.6475102517;9.3787790836;8.5383968545;9.2286601604;883892633.64;12199257463.24;"2023-12-25T23:59:59.999Z"
"2023-12-24T00:00:00.000Z";"2023-12-24T23:59:59.999Z";"2023-12-24T13:35:00.000Z";"2023-12-24T00:02:00.000Z";"2781";8.3420729802;9.1563861098;8.3374762456;8.6479688782;1079897568.31;10895489897.12;"2023-12-24T23:59:59.999Z"
"2023-12-23T00:00:00.000Z";"2023-12-23T23:59:59.999Z";"2023-12-23T23:17:00.000Z";"2023-12-23T03:02:00.000Z";"2781";7.9689493293;8.4382894978;7.6212633268;8.3421152052;460523777.02;10506952741.2;"2023-12-23T23:59:59.999Z"
"2023-12-22T00:00:00.000Z";"2023-12-22T23:59:59.999Z";"2023-12-22T02:28:00.000Z";"2023-12-22T07:38:00.000Z";"2781";8.3701007182;8.5308181701;7.8716504345;7.9691322213;640763568.59;10035159257.73;"2023-12-22T23:59:59.999Z"
"2023-12-21T00:00:00.000Z";"2023-12-21T23:59:59.999Z";"2023-12-21T23:37:00.000Z";"2023-12-21T00:22:00.000Z";"2781";6.9430393246;8.3630244254;6.9277312138;8.3615065133;964588443.04;10525207497.04;"2023-12-21T23:59:59.999Z"
"2023-12-20T00:00:00.000Z";"2023-12-20T23:59:59.999Z";"2023-12-20T14:32:00.000Z";"2023-12-20T02:11:00.000Z";"2781";6.714593615;7.1226676792;6.641643805;6.9426953995;303998672.52;8736334467.57;"2023-12-20T23:59:59.999Z"
