timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-01-02T00:00:00.000Z";"2025-01-02T23:59:59.999Z";"2025-01-02T09:20:00.000Z";"2025-01-02T00:00:00.000Z";"2781";0.3762690533;0.4068238273;0.3762426426;0.3922433975;355149023.95;3269570334.99;"2025-01-02T23:59:59.999Z"
"2025-01-01T00:00:00.000Z";"2025-01-01T23:59:59.999Z";"2025-01-01T21:25:00.000Z";"2025-01-01T09:29:00.000Z";"2781";0.3337005204;0.3847941161;0.3272958085;0.376269516;293751245.17;3130716561.14;"2025-01-01T23:59:59.999Z"
"2024-12-31T00:00:00.000Z";"2024-12-31T23:59:59.999Z";"2024-12-31T15:45:00.000Z";"2024-12-31T01:34:00.000Z";"2781";0.3285833245;0.3514001428;0.3172179789;0.3337005204;227972428.73;2776445699.61;"2024-12-31T23:59:59.999Z"
"2024-12-30T00:00:00.000Z";"2024-12-30T23:59:59.999Z";"2024-12-30T20:56:00.000Z";"2024-12-30T15:34:00.000Z";"2781";0.3253013315;0.3489903502;0.3109941297;0.3285833402;241918064.46;2738756356.16;"2024-12-30T23:59:59.999Z"
"2024-12-29T00:00:00.000Z";"2024-12-29T23:59:59.999Z";"2024-12-29T01:05:00.000Z";"2024-12-29T22:25:00.000Z";"2781";0.3443826638;0.3479638587;0.321859093;0.3253044517;159371149.14;2711407217.82;"2024-12-29T23:59:59.999Z"
"2024-12-28T00:00:00.000Z";"2024-12-28T23:59:59.999Z";"2024-12-28T22:56:00.000Z";"2024-12-28T07:56:00.000Z";"2781";0.3325371021;0.3499624676;0.3283945912;0.3443826638;154893492.11;2870452887.54;"2024-12-28T23:59:59.999Z"
"2024-12-27T00:00:00.000Z";"2024-12-27T23:59:59.999Z";"2024-12-27T09:46:00.000Z";"2024-12-27T17:26:00.000Z";"2781";0.3464403935;0.368807114;0.3294527099;0.3325371021;260720536.04;2771720908.71;"2024-12-27T23:59:59.999Z"
"2024-12-26T00:00:00.000Z";"2024-12-26T23:59:59.999Z";"2024-12-26T00:22:00.000Z";"2024-12-26T21:13:00.000Z";"2781";0.3810207201;0.3832098327;0.3442852994;0.3464408216;196832756.18;2887499365.35;"2024-12-26T23:59:59.999Z"
"2024-12-25T00:00:00.000Z";"2024-12-25T23:59:59.999Z";"2024-12-25T00:05:00.000Z";"2024-12-25T22:20:00.000Z";"2781";0.3967515326;0.3992361634;0.3783018103;0.3810207201;183934874.52;3175715876.16;"2024-12-25T23:59:59.999Z"
"2024-12-24T00:00:00.000Z";"2024-12-24T23:59:59.999Z";"2024-12-24T14:26:00.000Z";"2024-12-24T02:26:00.000Z";"2781";0.3750263849;0.4126114009;0.3629550925;0.3967515326;381202986.89;3306829926.2;"2024-12-24T23:59:59.999Z"
