timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-01-02T00:00:00.000Z";"2025-01-02T23:59:59.999Z";"2025-01-02T09:25:00.000Z";"2025-01-02T00:00:00.000Z";"2781";7.028342861;7.3422119889;7.0280518865;7.1689604569;288205887.08;11004002880.7;"2025-01-02T23:59:59.999Z"
"2025-01-01T00:00:00.000Z";"2025-01-01T23:59:59.999Z";"2025-01-01T21:25:00.000Z";"2025-01-01T09:46:00.000Z";"2781";6.6349478829;7.1147432793;6.5196547773;7.0283474571;231933496.44;10785792703.49;"2025-01-01T23:59:59.999Z"
"2024-12-31T00:00:00.000Z";"2024-12-31T23:59:59.999Z";"2024-12-31T14:28:00.000Z";"2024-12-31T05:22:00.000Z";"2781";6.6966034269;6.8980342427;6.5668249772;6.6349320098;211894653.87;10179921082.51;"2024-12-31T23:59:59.999Z"
"2024-12-30T00:00:00.000Z";"2024-12-30T23:59:59.999Z";"2024-12-30T01:40:00.000Z";"2024-12-30T16:52:00.000Z";"2781";6.8621847765;7.0850083557;6.5482341561;6.6966675295;331498847.96;10272288476.76;"2024-12-30T23:59:59.999Z"
"2024-12-29T00:00:00.000Z";"2024-12-29T23:59:59.999Z";"2024-12-29T08:04:00.000Z";"2024-12-29T22:26:00.000Z";"2781";7.1039978723;7.1317617756;6.8078024033;6.8621872099;205139312.25;10523989092.36;"2024-12-29T23:59:59.999Z"
"2024-12-28T00:00:00.000Z";"2024-12-28T23:59:59.999Z";"2024-12-28T22:56:00.000Z";"2024-12-28T07:51:00.000Z";"2781";6.8976325897;7.1529815676;6.7955573023;7.1040693008;219926523.37;10892600663.76;"2024-12-28T23:59:59.999Z"
"2024-12-27T00:00:00.000Z";"2024-12-27T23:59:59.999Z";"2024-12-27T09:50:00.000Z";"2024-12-27T16:26:00.000Z";"2781";6.9277606236;7.2719197182;6.8215087127;6.8976027389;307254089.77;10573965663.37;"2024-12-27T23:59:59.999Z"
"2024-12-26T00:00:00.000Z";"2024-12-26T23:59:59.999Z";"2024-12-26T00:20:00.000Z";"2024-12-26T21:16:00.000Z";"2781";7.4928396304;7.5722025916;6.8849537542;6.9280145415;311602625.41;10617775679.13;"2024-12-26T23:59:59.999Z"
"2024-12-25T00:00:00.000Z";"2024-12-25T23:59:59.999Z";"2024-12-25T10:25:00.000Z";"2024-12-25T16:46:00.000Z";"2781";7.5558385858;7.6607349515;7.3620046451;7.4928396304;293342421.11;11481483053.96;"2024-12-25T23:59:59.999Z"
"2024-12-24T00:00:00.000Z";"2024-12-24T23:59:59.999Z";"2024-12-24T15:47:00.000Z";"2024-12-24T02:22:00.000Z";"2781";7.3676691617;7.6181832964;7.1619089686;7.5558271886;392313973.4;11575564419.89;"2024-12-24T23:59:59.999Z"
"2024-12-23T00:00:00.000Z";"2024-12-23T23:59:59.999Z";"2024-12-23T21:29:00.000Z";"2024-12-23T01:22:00.000Z";"2781";6.8302706855;7.5400926789;6.6648204178;7.3676836544;478366374.41;11284787241.2;"2024-12-23T23:59:59.999Z"
"2024-12-22T00:00:00.000Z";"2024-12-22T23:59:59.999Z";"2024-12-22T09:49:00.000Z";"2024-12-22T20:12:00.000Z";"2781";6.9709146125;7.2533718673;6.6955834437;6.8301009217;380242082.07;10459368198.2;"2024-12-22T23:59:59.999Z"
"2024-12-21T00:00:00.000Z";"2024-12-21T23:59:59.999Z";"2024-12-21T07:44:00.000Z";"2024-12-21T19:40:00.000Z";"2781";7.2931148881;7.7894180028;6.8450849662;6.9709143374;556917436.79;10672485062.36;"2024-12-21T23:59:59.999Z"
"2024-12-20T00:00:00.000Z";"2024-12-20T23:59:59.999Z";"2024-12-20T23:25:00.000Z";"2024-12-20T12:03:00.000Z";"2781";6.9653613319;7.3462300278;6.0723683163;7.2931148881;924291707.82;11163449568.41;"2024-12-20T23:59:59.999Z"
"2024-12-19T00:00:00.000Z";"2024-12-19T23:59:59.999Z";"2024-12-19T10:51:00.000Z";"2024-12-19T20:14:00.000Z";"2781";7.6893076364;7.7768317363;6.7997173434;6.9653244363;978016274.11;10659397389.74;"2024-12-19T23:59:59.999Z"
"2024-12-18T00:00:00.000Z";"2024-12-18T23:59:59.999Z";"2024-12-18T00:19:00.000Z";"2024-12-18T23:57:00.000Z";"2781";8.4772812276;8.5382080109;7.6853870322;7.6892218514;709483921.09;11764752639.56;"2024-12-18T23:59:59.999Z"
"2024-12-17T00:00:00.000Z";"2024-12-17T23:59:59.999Z";"2024-12-17T11:34:00.000Z";"2024-12-17T23:13:00.000Z";"2781";8.7513698931;8.9549073488;8.3912273757;8.4769449486;540709621.79;12967612723.38;"2024-12-17T23:59:59.999Z"
"2024-12-16T00:00:00.000Z";"2024-12-16T23:59:59.999Z";"2024-12-16T01:05:00.000Z";"2024-12-16T12:53:00.000Z";"2781";9.0288560118;9.1745111023;8.613651442;8.7513698931;630039845.75;13384008176.93;"2024-12-16T23:59:59.999Z"
"2024-12-15T00:00:00.000Z";"2024-12-15T23:59:59.999Z";"2024-12-15T14:46:00.000Z";"2024-12-15T07:46:00.000Z";"2781";8.5514117945;9.2232221078;8.379759999;9.0293296215;638430485.79;13805300715.6;"2024-12-15T23:59:59.999Z"
"2024-12-14T00:00:00.000Z";"2024-12-14T23:59:59.999Z";"2024-12-14T01:27:00.000Z";"2024-12-14T20:58:00.000Z";"2781";9.090393453;9.197182988;8.3649831826;8.5514117945;543775535.99;13073524551.02;"2024-12-14T23:59:59.999Z"
"2024-12-13T00:00:00.000Z";"2024-12-13T23:59:59.999Z";"2024-12-13T02:49:00.000Z";"2024-12-13T07:28:00.000Z";"2781";9.064178599;9.2217786418;8.8054128834;9.090393453;627788024.94;13894582045.02;"2024-12-13T23:59:59.999Z"
"2024-12-12T00:00:00.000Z";"2024-12-12T23:59:59.999Z";"2024-12-12T05:44:00.000Z";"2024-12-12T22:22:00.000Z";"2781";9.0068108948;9.6477306441;8.9287615327;9.0641525665;954962375.5;13851510908.78;"2024-12-12T23:59:59.999Z"
"2024-12-11T00:00:00.000Z";"2024-12-11T23:59:59.999Z";"2024-12-11T15:29:00.000Z";"2024-12-11T02:05:00.000Z";"2781";8.3966397199;9.257143968;8.0567833872;9.0068214814;887182488.54;13760803940.13;"2024-12-11T23:59:59.999Z"
"2024-12-10T00:00:00.000Z";"2024-12-10T23:59:59.999Z";"2024-12-10T00:40:00.000Z";"2024-12-10T18:13:00.000Z";"2781";8.5134072094;8.703578039;7.6109511137;8.3966275248;1230641204.73;12825652011.75;"2024-12-10T23:59:59.999Z"
"2024-12-09T00:00:00.000Z";"2024-12-09T23:59:59.999Z";"2024-12-09T00:00:00.000Z";"2024-12-09T21:07:00.000Z";"2781";10.4206695015;10.4206695015;7.8785208958;8.5134436925;1499721447.48;13001504527.85;"2024-12-09T23:59:59.999Z"
"2024-12-08T00:00:00.000Z";"2024-12-08T23:59:59.999Z";"2024-12-08T01:19:00.000Z";"2024-12-08T09:57:00.000Z";"2781";10.7383987295;10.8013273718;10.2206487129;10.4129017986;647567268.99;15898889866.82;"2024-12-08T23:59:59.999Z"
"2024-12-07T00:00:00.000Z";"2024-12-07T23:59:59.999Z";"2024-12-07T19:09:00.000Z";"2024-12-07T10:53:00.000Z";"2781";10.7041954025;10.9130653605;10.3335466603;10.6292060967;777967117.48;16225985128.92;"2024-12-07T23:59:59.999Z"
"2024-12-06T00:00:00.000Z";"2024-12-06T23:59:59.999Z";"2024-12-06T23:19:00.000Z";"2024-12-06T13:03:00.000Z";"2781";10.3932491511;10.875262754;10.0415257831;10.7053708049;1099610157.22;16336698564.19;"2024-12-06T23:59:59.999Z"
"2024-12-05T00:00:00.000Z";"2024-12-05T23:59:59.999Z";"2024-12-05T18:44:00.000Z";"2024-12-05T01:28:00.000Z";"2781";10.5286527983;11.2090306907;9.9346174303;10.5246249422;1683790656.7;16060270428.56;"2024-12-05T23:59:59.999Z"
"2024-12-04T00:00:00.000Z";"2024-12-04T23:59:59.999Z";"2024-12-04T13:58:00.000Z";"2024-12-04T02:17:00.000Z";"2781";9.8296981;11.6003068287;9.7122688933;10.5286372031;2522338803.2;16061871914.55;"2024-12-04T23:59:59.999Z"
"2024-12-03T00:00:00.000Z";"2024-12-03T23:59:59.999Z";"2024-12-03T01:20:00.000Z";"2024-12-03T14:37:00.000Z";"2781";9.9867828783;10.3318968277;9.2551528132;9.8296981;1796116461.96;14992366512.2;"2024-12-03T23:59:59.999Z"
"2024-12-02T00:00:00.000Z";"2024-12-02T23:59:59.999Z";"2024-12-02T23:38:00.000Z";"2024-12-02T11:01:00.000Z";"2781";9.3088041484;10.1763453832;8.4778106697;9.9865046725;1740978849.24;15228671839.62;"2024-12-02T23:59:59.999Z"
"2024-12-01T00:00:00.000Z";"2024-12-01T23:59:59.999Z";"2024-12-01T21:40:00.000Z";"2024-12-01T02:41:00.000Z";"2781";8.9671756067;9.3772149067;8.7184886885;9.3077551013;791968764.52;14191716861.42;"2024-12-01T23:59:59.999Z"
"2024-11-30T00:00:00.000Z";"2024-11-30T23:59:59.999Z";"2024-11-30T22:13:00.000Z";"2024-11-30T02:49:00.000Z";"2781";9.0383173107;9.1999308116;8.6188164492;8.9672683934;921189074.36;13667959912.16;"2024-11-30T23:59:59.999Z"
"2024-11-29T00:00:00.000Z";"2024-11-29T23:59:59.999Z";"2024-11-29T23:58:00.000Z";"2024-11-29T08:00:00.000Z";"2781";8.6211710737;9.0489380307;8.4513015335;9.0387504275;823758069.99;13773381776.08;"2024-11-29T23:59:59.999Z"
"2024-11-28T00:00:00.000Z";"2024-11-28T23:59:59.999Z";"2024-11-28T22:52:00.000Z";"2024-11-28T15:55:00.000Z";"2781";8.4647153781;8.7190060593;8.0160662611;8.6211530057;673383472.42;13134901904.98;"2024-11-28T23:59:59.999Z"
"2024-11-27T00:00:00.000Z";"2024-11-27T23:59:59.999Z";"2024-11-27T20:31:00.000Z";"2024-11-27T01:04:00.000Z";"2781";8.0781034612;8.5670830628;7.8675501975;8.4647026487;829929419.35;12893765630.15;"2024-11-27T23:59:59.999Z"
